类型,key,English,English,English,简体中文,例子,简体中文,例子,简体中文,例子,来源,备注,释义
选项,options.difficulty,Difficulty,,,难度,,,,,,语言文件,,
选项,options.difficulty.easy,Easy,,,简单,,,,,,语言文件,,
选项,options.difficulty.hard,Hard,,,困难,,,,,,语言文件,,
选项,options.difficulty.hardcore,Hardcore,,,极限,,,,,,语言文件,,
选项,options.difficulty.normal,Normal,,,普通,,,,,,语言文件,,
选项,options.difficulty.online,Server Difficulty,,,服务器难度,,,,,,语言文件,,
选项,options.difficulty.peaceful,Peaceful,,,和平,,,,,,语言文件,,
选项,options.discrete_mouse_scroll,Discrete Scrolling,,,离散滚动,,,,,,语言文件,,
选项,options.entityDistanceScaling,Entity Distance,,,实体渲染距离,,,,,,语言文件,,
选项,options.entityShadows,Entity Shadows,,,实体阴影,,,,,,语言文件,,
选项,options.forceUnicodeFont,Force Unicode Font,,,强制使用Unicode字体,,,,,,语言文件,,
选项,options.fov,FOV,,,视场角,,,,,,语言文件,,
选项,options.fov.max,Quake Pro,,,广角,,,,,,语言文件,,
选项,options.fov.min,Normal,,,中,,,,,,语言文件,,
选项,options.fovEffectScale,FOV Effects,,,视场角效果,,,,,,语言文件,,
选项,options.framerateLimit,Max Framerate,,,最大帧率,,,,,,语言文件,,
选项,options.framerateLimit.max,Unlimited,,,无限制,,,,,,语言文件,,
选项,options.fullscreen,Fullscreen,,,全屏,,,,,,语言文件,,
选项,options.fullscreen.current,Current,,,当前分辨率,,,,,,语言文件,,
选项,options.fullscreen.resolution,Fullscreen Resolution,,,全屏分辨率,,,,,,语言文件,,
选项,options.fullscreen.unavailable,Setting unavailable,,,设置不可用,,,,,,语言文件,,
选项,options.gamma,Brightness,,,亮度,,,,,,语言文件,,
选项,options.gamma.default,Default,,,默认,,,,,,语言文件,,
选项,options.gamma.max,Bright,,,明亮,,,,,,语言文件,,
选项,options.gamma.min,Moody,,,昏暗,,,,,,语言文件,,
选项,options.graphics,Graphics,,,图像品质,,,,,,语言文件,,
选项,options.graphics.fabulous,Fabulous!,,,极佳！,,,,,,语言文件,,
选项,options.graphics.fancy,Fancy,,,高品质,,,,,,语言文件,,
选项,options.graphics.fast,Fast,,,流畅,,,,,,语言文件,,
选项,options.graphics.warning.accept,Continue without Support,,,在不受支持的情况下继续,,,,,,语言文件,,
选项,options.graphics.warning.cancel,Take me Back,,,算了,,,,,,语言文件,,
选项,options.graphics.warning.renderer,Renderer detected: [%s],,,检测到渲染器：[%s],,,,,,语言文件,,
选项,options.graphics.warning.title,Graphics Device Unsupported,,,图形设备不受支持,,,,,,语言文件,,
选项,options.graphics.warning.vendor,Vendor detected: [%s],,,检测到厂商：[%s],,,,,,语言文件,,
选项,options.guiScale,GUI Scale,,,界面尺寸,,,,,,语言文件,,
选项,options.guiScale.auto,Auto,,,自动,,,,,,语言文件,,
选项,options.hidden,Hidden,,,隐藏,,,,,,语言文件,,
选项,options.hideLightningFlashes,Hide Lightning Flashes,,,隐藏闪电的闪烁效果,,,,,,语言文件,,
选项,options.hideMatchedNames,Hide Matched Names,,,隐藏匹配的名称,,,,,,语言文件,,
选项,options.invertMouse,Invert Mouse,,,鼠标反转,,,,,,语言文件,,
选项,options.key.hold,Hold,,,按住,,,,,,语言文件,,
选项,options.key.toggle,Toggle,,,切换,,,,,,语言文件,,
选项,options.language,Language...,,,语言…,,,,,,语言文件,,
选项,options.languageWarning,Language translations may not be 100%% accurate,,,语言翻译不一定100%%准确,,,,,,语言文件,,
选项,options.mainHand,Main Hand,,,主手,,,,,,语言文件,,
选项,options.mainHand.left,Left,,,左手,,,,,,语言文件,,
选项,options.mainHand.right,Right,,,右手,,,,,,语言文件,,
选项,options.mipmapLevels,Mipmap Levels,,,Mipmap 级别,,,,,,语言文件,,
选项,options.modelPart.cape,Cape,,,披风,,,,,,语言文件,,
选项,options.modelPart.hat,Hat,,,帽子,,,,,,语言文件,,
选项,options.modelPart.jacket,Jacket,,,衣物,,,,,,语言文件,,
选项,options.modelPart.left_pants_leg,Left Pants Leg,,,左裤腿,,,,,,语言文件,,
选项,options.modelPart.left_sleeve,Left Sleeve,,,左袖,,,,,,语言文件,,
选项,options.modelPart.right_pants_leg,Right Pants Leg,,,右裤腿,,,,,,语言文件,,
选项,options.modelPart.right_sleeve,Right Sleeve,,,右袖,,,,,,语言文件,,
选项,options.mouse_settings.title,Mouse Settings,,,鼠标设置,,,,,,语言文件,,
选项,options.mouseWheelSensitivity,Scroll Sensitivity,,,滚轮灵敏度,,,,,,语言文件,,
选项,options.narrator,Narrator,,,复述功能,,,,,,语言文件,,
选项,options.narrator.all,Narrates All,,,复述所有,,,,,,语言文件,,
选项,options.narrator.chat,Narrates Chat,,,复述聊天消息,,,,,,语言文件,,
选项,options.narrator.notavailable,Not Available,,,不可用,,,,,,语言文件,,
选项,options.narrator.off,OFF,,,关,,,,,,语言文件,,
选项,options.narrator.system,Narrates System,,,复述系统消息,,,,,,语言文件,,
选项,options.off,OFF,,,关,,,,,,语言文件,,
选项,options.off.composed,%s: OFF,,,%s：关闭,,,,,,语言文件,,
选项,options.on,ON,,,开,,,,,,语言文件,,
选项,options.on.composed,%s: ON,,,%s：开启,,,,,,语言文件,,
选项,options.online.title,Online Options,,,在线选项,,,,,,语言文件,,
选项,options.particles,Particles,,,粒子效果,,,,,,语言文件,,
选项,options.particles.all,All,,,全部,,,,,,语言文件,,
选项,options.particles.decreased,Decreased,,,少量,,,,,,语言文件,,
选项,options.particles.minimal,Minimal,,,最少,,,,,,语言文件,,
选项,options.prioritizeChunkUpdates,Chunk Builder,,,区块构建器,,,,,,语言文件,,
选项,options.prioritizeChunkUpdates.byPlayer,Semi Blocking,,,半阻塞,,,,,,语言文件,,
选项,options.prioritizeChunkUpdates.nearby,Fully Blocking,,,全阻塞,,,,,,语言文件,,
选项,options.prioritizeChunkUpdates.none,Threaded,,,线程化,,,,,,语言文件,,
选项,options.rawMouseInput,Raw Input,,,原始输入,,,,,,语言文件,,
选项,options.realmsNotifications,Realms Notifications,,,Realms的通知,,,,,,语言文件,,
选项,options.reducedDebugInfo,Reduced Debug Info,,,简化调试信息,,,,,,语言文件,,
选项,options.renderClouds,Clouds,,,云,,,,,,语言文件,,
选项,options.renderDistance,Render Distance,,,渲染距离,,,,,,语言文件,,
选项,options.resourcepack,Resource Packs...,,,资源包…,,,,,,语言文件,,
选项,options.screenEffectScale,Distortion Effects,,,屏幕扭曲效果,,,,,,语言文件,,
选项,options.sensitivity,Sensitivity,,,鼠标灵敏度,,,,,,语言文件,,
选项,options.sensitivity.max,HYPERSPEED!!!,,,超高速！！！,,,,,,语言文件,,
选项,options.sensitivity.min,*yawn*,,,*哈欠*,,,,,,语言文件,,
选项,options.showSubtitles,Show Subtitles,,,显示字幕,,,,,,语言文件,,
选项,options.simulationDistance,Simulation Distance,,,模拟距离,,,,,,语言文件,,
选项,options.skinCustomisation.title,Skin Customization,,,自定义皮肤,,,,,,语言文件,,
选项,options.sounds.title,Music & Sound Options,,,音乐和声音选项,,,,,,语言文件,,
选项,options.title,Options,,,选项,,,,,,语言文件,,
选项,options.touchscreen,Touchscreen Mode,,,触屏模式,,,,,,语言文件,,
选项,options.videoTitle,Video Settings,,,视频设置,,,,,,语言文件,,
选项,options.viewBobbing,View Bobbing,,,视角摇晃,,,,,,语言文件,,
选项,options.visible,Shown,,,显示,,,,,,语言文件,,
选项,options.vsync,VSync,,,垂直同步,,,,,,语言文件,,
结构方块,structure_block.button.detect_size,DETECT,,,探测,,,,,,语言文件,,
结构方块,structure_block.button.load,LOAD,,,加载,,,,,,语言文件,,
结构方块,structure_block.button.save,SAVE,,,保存,,,,,,语言文件,,
结构方块,structure_block.custom_data,Custom Data Tag Name,,,自定义数据标签名,,,,,,语言文件,,
结构方块,structure_block.detect_size,Detect structure size and position:,,,探测结构大小和位置：,,,,,,语言文件,,
结构方块,structure_block.hover.corner,Corner: %s,,,角落：%s,,,,,,语言文件,,
结构方块,structure_block.hover.data,Data: %s,,,数据：%s,,,,,,语言文件,,
结构方块,structure_block.hover.load,Load: %s,,,加载：%s,,,,,,语言文件,,
结构方块,structure_block.hover.save,Save: %s,,,保存：%s,,,,,,语言文件,,
结构方块,structure_block.include_entities,Include entities:,,,包括实体：,,,,,,语言文件,,
结构方块,structure_block.integrity,Structure Integrity and Seed,,,结构完整性及种子,,,,,,语言文件,,
结构方块,structure_block.integrity.integrity,Structure Integrity,,,结构完整性,,,,,,语言文件,,
结构方块,structure_block.integrity.seed,Structure Seed,,,结构种子,,,,,,语言文件,,
结构方块,structure_block.mode.corner,Corner,,,角落模式,,,,,,语言文件,,
结构方块,structure_block.mode.data,Data,,,数据模式,,,,,,语言文件,,
结构方块,structure_block.mode.load,Load,,,加载模式,,,,,,语言文件,,
结构方块,structure_block.mode.save,Save,,,储存模式,,,,,,语言文件,,
结构方块,,Placement and Size Marker,,,位置和大小标记,,,,,,语言文件（整理）,,
结构方块,,Game Logic Marker,,,游戏逻辑标记,,,,,,语言文件（整理）,,
结构方块,,Load from File,,,从文件中加载,,,,,,语言文件（整理）,,
结构方块,,Write to File,,,写入文件,,,,,,语言文件（整理）,,
结构方块,structure_block.position,Relative Position,,,相对位置,,,,,,语言文件,,
结构方块,structure_block.position.x,relative Position x,,,相对X坐标,,,,,,语言文件,,
结构方块,structure_block.position.y,relative position y,,,相对Y坐标,,,,,,语言文件,,
结构方块,structure_block.position.z,relative position z,,,相对Z坐标,,,,,,语言文件,,
结构方块,structure_block.show_air,Show Invisible Blocks:,,,显示隐形方块：,,,,,,语言文件,,
结构方块,structure_block.show_boundingbox,Show Bounding Box:,,,显示边框：,,,,,,语言文件,,
结构方块,structure_block.size,Structure Size,,,结构大小,,,,,,语言文件,,
结构方块,structure_block.size.x,structure size x,,,结构X轴大小,,,,,,语言文件,,
结构方块,structure_block.size.y,structure size y,,,结构Y轴大小,,,,,,语言文件,,
结构方块,structure_block.size.z,structure size z,,,结构Z轴大小,,,,,,语言文件,,
结构方块,structure_block.structure_name,Structure Name,,,结构名称,,,,,,语言文件,,
字幕：潮涌核心,subtitles.block.conduit.activate,activates,,,激活,,,,,,语言文件（整理）,,
字幕：图腾,subtitles.item.totem.use,activates,,,发动,,,,,,语言文件（整理）,,
字幕：图腾,subtitles.item.totem.use,activates,,,发动,,,,,,语言文件（整理）,,
字幕：信标,subtitles.block.beacon.activate,activates,,,激活,,,,,,语言文件（整理）,,
字幕：猪灵,subtitles.entity.piglin.admiring_item,admires item,,,端详物品,,,,,,语言文件（整理）,,
字幕：村民,subtitles.entity.villager.yes,agrees,,,赞同,,,,,,语言文件（整理）,,
字幕：流浪商人,subtitles.entity.wandering_trader.yes,agrees,,,同意,,,,,,语言文件（整理）,,
字幕：凋灵,subtitles.entity.wither.ambient,angers,,,愤怒,,,,,,语言文件（整理）,,
字幕：狐狸,subtitles.entity.fox.aggro,angers,,,愤怒,,,,,,语言文件（整理）,,
字幕：鹦鹉,subtitles.entity.parrot.imitate.wither,angers,,,愤怒,,,,,,语言文件（整理）,,
字幕：流浪商人,subtitles.entity.wandering_trader.reappeared,appears,,,现身,,,,,,语言文件（整理）,,
字幕：马,subtitles.entity.horse.armor,armor equips,,,装备,,,,,,语言文件（整理）,,
字幕：绊线钩,subtitles.block.tripwire.attach,attaches,,,连接,,,,,,语言文件（整理）,,
字幕：末影之眼,subtitles.block.end_portal_frame.fill,attaches,,,嵌入,,,,,,语言文件（整理）,,
字幕：潮涌核心,subtitles.block.conduit.attack.target,attacks,,,攻击,,,,,,语言文件（整理）,,
字幕：凋灵,subtitles.entity.wither.shoot,attacks,,,攻击,,,,,,语言文件（整理）,,
字幕：海豚,subtitles.entity.dolphin.attack,attacks,,,攻击,,,,,,语言文件（整理）,,
字幕：僵尸疣猪兽,subtitles.entity.zoglin.attack,attacks,,,攻击,,,,,,语言文件（整理）,,
字幕：美西螈,subtitles.entity.axolotl.attack,attacks,,,攻击,,,,,,语言文件（整理）,,
字幕：史莱姆,subtitles.entity.slime.attack,attacks,,,攻击,,,,,,语言文件（整理）,,
字幕：铁傀儡,subtitles.entity.iron_golem.attack,attacks,,,攻击,,,,,,语言文件（整理）,,
字幕：兔子,subtitles.entity.rabbit.attack,attacks,,,攻击,,,,,,语言文件（整理）,,
字幕：疣猪兽,subtitles.entity.hoglin.attack,attacks,,,攻击,,,,,,语言文件（整理）,,
字幕：绵羊,subtitles.entity.sheep.ambient,baahs,,,咩~,,,,,,语言文件（整理）,,
字幕：幼年海龟,subtitles.entity.turtle.death_baby,baby dies,,,死亡,,,,,,语言文件（整理）,,
字幕：幼年海龟,subtitles.entity.turtle.hurt_baby,baby hurts,,,受伤,,,,,,语言文件（整理）,,
字幕：幼年海龟,subtitles.entity.turtle.shamble_baby,baby shambles,,,爬行,,,,,,语言文件（整理）,,
字幕：猫,subtitles.entity.cat.beg_for_food,begs,,,求食,,,,,,语言文件（整理）,,
字幕：山羊,subtitles.entity.goat.screaming.ambient,bellows,,,喊叫,,,,,,语言文件（整理）,,
字幕：狐狸,subtitles.entity.fox.bite,bites,,,撕咬,,,,,,语言文件（整理）,,
字幕：幻翼,subtitles.entity.phantom.bite,bites,,,撕咬,,,,,,语言文件（整理）,,
字幕：劫掠兽,subtitles.entity.ravager.attack,bites,,,撕咬,,,,,,语言文件（整理）,,
字幕：熊猫,subtitles.entity.panda.bite,bites,,,撕咬,,,,,,语言文件（整理）,,
字幕：不详号角,subtitles.event.raid.horn,blares,,,鸣响,,,,,,语言文件（整理）,,
字幕：烟花,subtitles.entity.firework_rocket.blast,blasts,,,爆炸,,,,,,语言文件（整理）,,
字幕：山羊,subtitles.entity.goat.ambient,bleats,,,咩~,,,,,,语言文件（整理）,,
字幕：熊猫,subtitles.entity.panda.cant_breed,bleats,,,哀鸣,,,,,,语言文件（整理）,,
字幕：羊驼,subtitles.entity.llama.ambient,bleats,,,吼叫,,,,,,语言文件（整理）,,
字幕：羊驼,subtitles.entity.llama.angry,bleats angrily,,,怒吼,,,,,,语言文件（整理）,,
字幕：盾牌,subtitles.item.shield.block,blocks,,,格挡,,,,,,语言文件（整理）,,
字幕：方块,subtitles.block.generic.hit,breaking,,,损坏中,,,,,,语言文件（整理）,,
字幕：海龟蛋,subtitles.entity.turtle.egg_break,breaks,,,破裂,,,,,,语言文件（整理）,,
字幕：画,subtitles.entity.painting.break,breaks,,,被破坏,,,,,,语言文件（整理）,,
字幕：门,subtitles.entity.zombie.break_wooden_door,breaks,,,毁坏,,,,,,语言文件（整理）,,
字幕：潜影贝导弹,subtitles.entity.shulker_bullet.hurt,breaks,,,碎裂,,,,,,语言文件（整理）,,
字幕：铁傀儡,subtitles.entity.iron_golem.damage,breaks,,,受损,,,,,,语言文件（整理）,,
字幕：物品,subtitles.entity.item.break,breaks,,,被破坏,,,,,,语言文件（整理）,,
字幕：物品展示框,subtitles.entity.item_frame.break,breaks,,,被破坏,,,,,,语言文件（整理）,,
字幕：荧光物品展示框,subtitles.entity.glow_item_frame.break,breaks,,,被破坏,,,,,,语言文件（整理）,,
字幕：烈焰人,subtitles.entity.blaze.ambient,breathes,,,呼吸,,,,,,语言文件（整理）,,
字幕：马,subtitles.entity.horse.breathe,breathes,,,呼吸,,,,,,语言文件（整理）,,
字幕：鹦鹉,subtitles.entity.parrot.imitate.blaze,breathes,,,呼吸,,,,,,语言文件（整理）,,
字幕：方块,subtitles.block.generic.break,broken,,,被破坏,,,,,,语言文件（整理）,,
字幕： 酿造台,subtitles.block.brewing_stand.brew,bubbles,,,冒泡,,,,,,语言文件（整理）,,
字幕：玩家,subtitles.entity.player.hurt_on_fire,burns,,,燃烧,,,,,,语言文件（整理）,,
字幕：蜜蜂,subtitles.entity.bee.ambient,buzzes,,,嗡嗡,,,,,,语言文件（整理）,,
字幕：蜜蜂,subtitles.entity.bee.loop,buzzes,,,嗡嗡,,,,,,语言文件（整理）,,
字幕：蜜蜂,subtitles.entity.bee.loop_aggressive,buzzes angrily,,,愤怒地嗡嗡叫,,,,,,语言文件（整理）,,
字幕：蜜蜂,subtitles.entity.bee.pollinate,buzzes happily,,,高兴地嗡嗡叫,,,,,,语言文件（整理）,,
字幕：鱼（桶）,subtitles.item.bucket.fill_fish,captured,,,被捕获,,,,,,语言文件（整理）,,
字幕：剪刀,subtitles.block.pumpkin.carve,carve,,,雕刻,,,,,,语言文件（整理）,,
字幕：幻术师,subtitles.entity.illusioner.cast_spell,casts spell,,,施法,,,,,,语言文件（整理）,,
字幕：唤魔者,subtitles.entity.evoker.cast_spell,casts spell,,,施法,,,,,,语言文件（整理）,,
字幕：猪灵,subtitles.entity.piglin.celebrate,celebrates,,,庆祝,,,,,,语言文件（整理）,,
字幕：弩,subtitles.item.crossbow.charge,charges up,,,蓄力,,,,,,语言文件（整理）,,
字幕：卫道士,subtitles.entity.vindicator.celebrate,cheers,,,欢呼,,,,,,语言文件（整理）,,
字幕：村民,subtitles.entity.villager.celebrate,cheers,,,欢呼,,,,,,语言文件（整理）,,
字幕：唤魔者,subtitles.entity.evoker.celebrate,cheers,,,欢呼,,,,,,语言文件（整理）,,
字幕：劫掠兽,subtitles.entity.ravager.celebrate,cheers,,,欢呼,,,,,,语言文件（整理）,,
字幕：掠夺者,subtitles.entity.pillager.celebrate,cheers,,,欢呼,,,,,,语言文件（整理）,,
字幕：女巫,subtitles.entity.witch.celebrate,cheers,,,欢呼,,,,,,语言文件（整理）,,
字幕：骡,subtitles.entity.mule.chest,Chest equips,,,装备箱子,,,,,,语言文件（整理）,,
字幕：驴,subtitles.entity.donkey.chest,Chest equips,,,装备箱子,,,,,,语言文件（整理）,,
字幕：羊驼,subtitles.entity.llama.chest,Chest equips,,,装备箱子,,,,,,语言文件（整理）,,
字幕：紫水晶,subtitles.block.amethyst_block.chime,chimes,,,叮铃,,,,,,语言文件（整理）,,
字幕：炽足兽,subtitles.entity.strider.idle,chirps,,,啾啾,,,,,,语言文件（整理）,,
字幕：海龟,subtitles.entity.turtle.ambient_land,chirps,,,啾啾,,,,,,语言文件（整理）,,
字幕：海豚,subtitles.entity.dolphin.ambient,chirps,,,啾啾,,,,,,语言文件（整理）,,
字幕：美西螈,subtitles.entity.axolotl.idle_air,chirps,,,啾啾,,,,,,语言文件（整理）,,
字幕：美西螈,subtitles.entity.axolotl.idle_water,chirps,,,啾啾,,,,,,语言文件（整理）,,
字幕：三叉戟,subtitles.item.trident.throw,clangs,,,铿锵,,,,,,语言文件（整理）,,
字幕：三叉戟,subtitles.item.trident.throw,clangs,,,铿锵,,,,,,语言文件（整理）,,
字幕：钻石盔甲,subtitles.item.armor.equip_diamond,clangs,,,碰擦,,,,,,语言文件（整理）,,
字幕：铁质盔甲,subtitles.item.armor.equip_iron,clanks,,,铿锵,,,,,,语言文件（整理）,,
字幕：下界合金盔甲,subtitles.item.armor.equip_netherite,clanks,,,铿锵,,,,,,语言文件（整理）,,
字幕：打火石,subtitles.item.flintandsteel.use,click,,,生火,,,,,,语言文件（整理）,,
字幕：剪刀,subtitles.item.shears.shear,click,,,剪断,,,,,,语言文件（整理）,,
字幕：按钮,subtitles.block.button.click,clicks,,,咔哒,,,,,,语言文件（整理）,,
字幕：绊线钩,subtitles.block.tripwire.click,clicks,,,咔哒,,,,,,语言文件（整理）,,
字幕：比较器,subtitles.block.comparator.click,clicks,,,模式变更,,,,,,语言文件（整理）,,
字幕：物品展示框,subtitles.entity.item_frame.rotate_item,clicks,,,转动,,,,,,语言文件（整理）,,
字幕：压力板,subtitles.block.pressure_plate.click,clicks,,,咔哒,,,,,,语言文件（整理）,,
字幕：荧光物品展示框,subtitles.entity.glow_item_frame.rotate_item,clicks,,,转动,,,,,,语言文件（整理）,,
字幕：黄金盔甲,subtitles.item.armor.equip_gold,clinks,,,叮当,,,,,,语言文件（整理）,,
字幕：活板门,subtitles.block.iron_trapdoor.close,closes,,,关闭,,,,,,语言文件（整理）,,
字幕：木桶,subtitles.block.barrel.close,closes,,,关闭,,,,,,语言文件（整理）,,
字幕：潜影贝,subtitles.entity.shulker.close,closes,,,关闭,,,,,,语言文件（整理）,,
字幕：潜影盒,subtitles.block.shulker_box.close,closes,,,关闭,,,,,,语言文件（整理）,,
字幕：箱子,subtitles.block.chest.close,closes,,,关闭,,,,,,语言文件（整理）,,
字幕：鸡,subtitles.entity.chicken.ambient,clucks,,,咯咯叫,,,,,,语言文件（整理）,,
字幕：堆肥桶,subtitles.block.composter.ready,composts,,,堆肥,,,,,,语言文件（整理）,,
字幕：僵尸,subtitles.entity.zombie.converted_to_drowned,converts to Drowned,,,转化为溺尸,,,,,,语言文件（整理）,,
字幕：骷髅,subtitles.entity.skeleton.converted_to_stray,converts to Stray,,,转化为流浪者,,,,,,语言文件（整理）,,
字幕：疣猪兽,subtitles.entity.hoglin.converted_to_zombified,converts to Zoglin,,,转化为僵尸疣猪兽,,,,,,语言文件（整理）,,
字幕：尸壳,subtitles.entity.husk.converted_to_zombie,converts to Zombie,,,转化为僵尸,,,,,,语言文件（整理）,,
字幕：猪灵,subtitles.entity.piglin.converted_to_zombified,converts to Zombified Piglin,,,转化为僵尸猪灵,,,,,,语言文件（整理）,,
字幕：猪灵蛮兵,subtitles.entity.piglin_brute.converted_to_zombified,converts to Zombified Piglin,,,转化为僵尸猪灵,,,,,,语言文件（整理）,,
字幕：熔炉/高炉/营火/蜡烛/火/烈焰人,subtitles.block.blastfurnace.fire_crackle,crackles,,,噼啪作响,,,,,,语言文件（整理）,,
字幕：海龟蛋,subtitles.entity.turtle.egg_crack,cracks,,,裂开,,,,,,语言文件（整理）,,
字幕：钟乳石,subtitles.block.pointed_dripstone.land,crashes down,,,塌落,,,,,,语言文件（整理）,,
字幕：活板门,subtitles.block.trapdoor.toggle,creaks,,,嘎吱作响,,,,,,语言文件（整理）,,
字幕：门,subtitles.block.door.toggle,creaks,,,嘎吱作响,,,,,,语言文件（整理）,,
字幕：栅栏门,subtitles.block.fence_gate.toggle,creaks,,,嘎吱作响,,,,,,语言文件（整理）,,
字幕：恶魂,subtitles.entity.ghast.ambient,cries,,,哭泣,,,,,,语言文件（整理）,,
字幕：僵尸马,subtitles.entity.zombie_horse.ambient,cries,,,嘶叫,,,,,,语言文件（整理）,,
字幕：骷髅马,subtitles.entity.skeleton_horse.ambient,cries,,,嘶叫,,,,,,语言文件（整理）,,
字幕：鹦鹉,subtitles.entity.parrot.imitate.ghast,cries,,,哭泣,,,,,,语言文件（整理）,,
字幕：末影人,subtitles.entity.enderman.stare,cries out,,,喊叫,,,,,,语言文件（整理）,,
字幕：植物,subtitles.block.growing_plant.crop,cropped,,,被修剪,,,,,,语言文件（整理）,,
字幕：远古守卫者,subtitles.entity.elder_guardian.curse,curses,,,诅咒,,,,,,语言文件（整理）,,
字幕：潮涌核心,subtitles.block.conduit.deactivate,deactivates,,,失效,,,,,,语言文件（整理）,,
字幕：信标,subtitles.block.beacon.deactivate,deactivates,,,失效,,,,,,语言文件（整理）,,
字幕：河豚,subtitles.entity.puffer_fish.blow_out,deflates,,,收缩,,,,,,语言文件（整理）,,
字幕：重生锚,subtitles.block.respawn_anchor.deplete,depletes,,,耗能,,,,,,语言文件（整理）,,
字幕：铁砧,subtitles.block.anvil.destroy,destroyed,,,被毁,,,,,,语言文件（整理）,,
字幕：绊线钩,subtitles.block.tripwire.detach,detaches,,,断开,,,,,,语言文件（整理）,,
字幕：卫道士,subtitles.entity.vindicator.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：北极熊,subtitles.entity.polar_bear.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：蝙蝠,subtitles.entity.bat.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：炽足兽,subtitles.entity.strider.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：村民,subtitles.entity.villager.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：凋灵,subtitles.entity.wither.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：凋灵骷髅,subtitles.entity.wither_skeleton.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：蠹虫,subtitles.entity.silverfish.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：恶魂,subtitles.entity.ghast.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：发光鱿鱼,subtitles.entity.glow_squid.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：鲑鱼,subtitles.entity.salmon.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：海龟,subtitles.entity.turtle.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：海豚,subtitles.entity.dolphin.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：河豚,subtitles.entity.puffer_fish.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：狐狸,subtitles.entity.fox.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：幻术师,subtitles.entity.illusioner.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：幻翼,subtitles.entity.phantom.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：唤魔者,subtitles.entity.evoker.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：鸡,subtitles.entity.chicken.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：僵尸,subtitles.entity.zombie.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：僵尸村民,subtitles.entity.zombie_villager.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：僵尸马,subtitles.entity.zombie_horse.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：僵尸疣猪兽,subtitles.entity.zoglin.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：僵尸猪灵,subtitles.entity.zombified_piglin.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：劫掠兽,subtitles.entity.ravager.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：骷髅,subtitles.entity.skeleton.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：骷髅马,subtitles.entity.skeleton_horse.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：苦力怕,subtitles.entity.creeper.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：狼,subtitles.entity.wolf.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：烈焰人,subtitles.entity.blaze.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：流浪商人,subtitles.entity.wandering_trader.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：流浪者,subtitles.entity.stray.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：骡,subtitles.entity.mule.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：驴,subtitles.entity.donkey.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：掠夺者,subtitles.entity.pillager.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：马,subtitles.entity.horse.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：猫,subtitles.entity.cat.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：美西螈,subtitles.entity.axolotl.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：蜜蜂,subtitles.entity.bee.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：绵羊,subtitles.entity.sheep.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：末影龙,subtitles.entity.ender_dragon.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：末影螨,subtitles.entity.endermite.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：末影人,subtitles.entity.enderman.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：恼鬼,subtitles.entity.vex.death,dies,,,死亡,,,,,,语言文件（整理）,,
字幕：溺尸,subtitles.entity.drowned.death,dies,,,死亡,,,,,,语言文件（整理）,,
