Key,English,简体中文
block.minecraft.blue_terracotta,Blue Terracotta,蓝色陶瓦
block.minecraft.blue_wool,Blue Wool,蓝色羊毛
block.minecraft.bone_block,Bone Block,骨块
block.minecraft.bookshelf,Bookshelf,书架
block.minecraft.brain_coral,Brain Coral,脑纹珊瑚
block.minecraft.brain_coral_block,Brain Coral Block,脑纹珊瑚块
block.minecraft.brain_coral_fan,Brain Coral Fan,脑纹珊瑚扇
block.minecraft.brain_coral_wall_fan,Brain Coral Wall Fan,墙上的脑纹珊瑚扇
block.minecraft.brewing_stand,Brewing Stand,酿造台
block.minecraft.brick_slab,Brick Slab,砖台阶
block.minecraft.brick_stairs,Brick Stairs,砖楼梯
block.minecraft.brick_wall,Brick Wall,砖块墙
block.minecraft.bricks,Bricks,砖块
block.minecraft.brown_banner,Brown Banner,棕色旗帜
block.minecraft.brown_bed,Brown Bed,棕色床
block.minecraft.brown_candle,Brown Candle,棕色蜡烛
block.minecraft.brown_candle_cake,Cake with Brown Candle,插上棕色蜡烛的蛋糕
block.minecraft.brown_carpet,Brown Carpet,棕色地毯
block.minecraft.brown_concrete,Brown Concrete,棕色混凝土
block.minecraft.brown_concrete_powder,Brown Concrete Powder,棕色混凝土粉末
block.minecraft.brown_glazed_terracotta,Brown Glazed Terracotta,棕色带釉陶瓦
block.minecraft.brown_mushroom,Brown Mushroom,棕色蘑菇
block.minecraft.brown_mushroom_block,Brown Mushroom Block,棕色蘑菇方块
block.minecraft.brown_shulker_box,Brown Shulker Box,棕色潜影盒
block.minecraft.brown_stained_glass,Brown Stained Glass,棕色染色玻璃
block.minecraft.brown_stained_glass_pane,Brown Stained Glass Pane,棕色染色玻璃板
block.minecraft.brown_terracotta,Brown Terracotta,棕色陶瓦
block.minecraft.brown_wool,Brown Wool,棕色羊毛
block.minecraft.bubble_column,Bubble Column,气泡柱
block.minecraft.bubble_coral,Bubble Coral,气泡珊瑚
block.minecraft.bubble_coral_block,Bubble Coral Block,气泡珊瑚块
block.minecraft.bubble_coral_fan,Bubble Coral Fan,气泡珊瑚扇
block.minecraft.bubble_coral_wall_fan,Bubble Coral Wall Fan,墙上的气泡珊瑚扇
block.minecraft.budding_amethyst,Budding Amethyst,紫水晶母岩
block.minecraft.cactus,Cactus,仙人掌
block.minecraft.cake,Cake,蛋糕
block.minecraft.calcite,Calcite,方解石
block.minecraft.campfire,Campfire,营火
block.minecraft.candle,Candle,蜡烛
block.minecraft.candle_cake,Cake with Candle,插上蜡烛的蛋糕
block.minecraft.carrots,Carrots,胡萝卜
block.minecraft.cartography_table,Cartography Table,制图台
block.minecraft.carved_pumpkin,Carved Pumpkin,雕刻过的南瓜
block.minecraft.cauldron,Cauldron,炼药锅
block.minecraft.cave_air,Cave Air,洞穴空气
block.minecraft.cave_vines,Cave Vines,洞穴藤蔓
block.minecraft.cave_vines_plant,Cave Vines Plant,洞穴藤蔓植株
block.minecraft.chain,Chain,锁链
block.minecraft.chain_command_block,Chain Command Block,连锁型命令方块
block.minecraft.chest,Chest,箱子
block.minecraft.chipped_anvil,Chipped Anvil,开裂的铁砧
block.minecraft.chiseled_deepslate,Chiseled Deepslate,錾制深板岩
block.minecraft.chiseled_nether_bricks,Chiseled Nether Bricks,錾制下界砖块
block.minecraft.chiseled_polished_blackstone,Chiseled Polished Blackstone,錾制磨制黑石
block.minecraft.chiseled_quartz_block,Chiseled Quartz Block,錾制石英块
block.minecraft.chiseled_red_sandstone,Chiseled Red Sandstone,錾制红砂岩
block.minecraft.chiseled_sandstone,Chiseled Sandstone,錾制砂岩
block.minecraft.chiseled_stone_bricks,Chiseled Stone Bricks,錾制石砖
block.minecraft.chorus_flower,Chorus Flower,紫颂花
block.minecraft.chorus_plant,Chorus Plant,紫颂植株
block.minecraft.clay,Clay,黏土块
block.minecraft.coal_block,Block of Coal,煤炭块
block.minecraft.coal_ore,Coal Ore,煤矿石
block.minecraft.coarse_dirt,Coarse Dirt,砂土
block.minecraft.cobbled_deepslate,Cobbled Deepslate,深板岩圆石
block.minecraft.cobbled_deepslate_slab,Cobbled Deepslate Slab,深板岩圆石台阶
block.minecraft.cobbled_deepslate_stairs,Cobbled Deepslate Stairs,深板岩圆石楼梯
block.minecraft.cobbled_deepslate_wall,Cobbled Deepslate Wall,深板岩圆石墙
block.minecraft.cobblestone,Cobblestone,圆石
block.minecraft.cobblestone_slab,Cobblestone Slab,圆石台阶
block.minecraft.cobblestone_stairs,Cobblestone Stairs,圆石楼梯
block.minecraft.cobblestone_wall,Cobblestone Wall,圆石墙
block.minecraft.cobweb,Cobweb,蜘蛛网
block.minecraft.cocoa,Cocoa,可可果
block.minecraft.command_block,Command Block,命令方块
block.minecraft.comparator,Redstone Comparator,红石比较器
block.minecraft.composter,Composter,堆肥桶
block.minecraft.conduit,Conduit,潮涌核心
block.minecraft.copper_block,Block of Copper,铜块
block.minecraft.copper_ore,Copper Ore,铜矿石
block.minecraft.cornflower,Cornflower,矢车菊
block.minecraft.cracked_deepslate_bricks,Cracked Deepslate Bricks,裂纹深板岩砖
block.minecraft.cracked_deepslate_tiles,Cracked Deepslate Tiles,裂纹深板岩瓦
block.minecraft.cracked_nether_bricks,Cracked Nether Bricks,裂纹下界砖块
block.minecraft.cracked_polished_blackstone_bricks,Cracked Polished Blackstone Bricks,裂纹磨制黑石砖
block.minecraft.cracked_stone_bricks,Cracked Stone Bricks,裂纹石砖
block.minecraft.crafting_table,Crafting Table,工作台
block.minecraft.creeper_head,Creeper Head,苦力怕的头
block.minecraft.creeper_wall_head,Creeper Wall Head,墙上的苦力怕头颅
block.minecraft.crimson_button,Crimson Button,绯红木按钮
block.minecraft.crimson_door,Crimson Door,绯红木门
block.minecraft.crimson_fence,Crimson Fence,绯红木栅栏
block.minecraft.crimson_fence_gate,Crimson Fence Gate,绯红木栅栏门
block.minecraft.crimson_fungus,Crimson Fungus,绯红菌
block.minecraft.crimson_hyphae,Crimson Hyphae,绯红菌核
block.minecraft.crimson_nylium,Crimson Nylium,绯红菌岩
block.minecraft.crimson_planks,Crimson Planks,绯红木板
block.minecraft.crimson_pressure_plate,Crimson Pressure Plate,绯红木压力板
block.minecraft.crimson_roots,Crimson Roots,绯红菌索
block.minecraft.crimson_sign,Crimson Sign,绯红木告示牌
block.minecraft.crimson_slab,Crimson Slab,绯红木台阶
block.minecraft.crimson_stairs,Crimson Stairs,绯红木楼梯
block.minecraft.crimson_stem,Crimson Stem,绯红菌柄
block.minecraft.crimson_trapdoor,Crimson Trapdoor,绯红木活板门
block.minecraft.crimson_wall_sign,Crimson Wall Sign,墙上的绯红木告示牌
block.minecraft.crying_obsidian,Crying Obsidian,哭泣的黑曜石
block.minecraft.cut_copper,Cut Copper,切制铜块
block.minecraft.cut_copper_slab,Cut Copper Slab,切制铜台阶
block.minecraft.cut_copper_stairs,Cut Copper Stairs,切制铜楼梯
block.minecraft.cut_red_sandstone,Cut Red Sandstone,切制红砂岩
block.minecraft.cut_red_sandstone_slab,Cut Red Sandstone Slab,切制红砂岩台阶
block.minecraft.cut_sandstone,Cut Sandstone,切制砂岩
block.minecraft.cut_sandstone_slab,Cut Sandstone Slab,切制砂岩台阶
block.minecraft.cyan_banner,Cyan Banner,青色旗帜
block.minecraft.cyan_bed,Cyan Bed,青色床
block.minecraft.cyan_candle,Cyan Candle,青色蜡烛
block.minecraft.cyan_candle_cake,Cake with Cyan Candle,插上青色蜡烛的蛋糕
block.minecraft.cyan_carpet,Cyan Carpet,青色地毯
block.minecraft.cyan_concrete,Cyan Concrete,青色混凝土
block.minecraft.cyan_concrete_powder,Cyan Concrete Powder,青色混凝土粉末
block.minecraft.cyan_glazed_terracotta,Cyan Glazed Terracotta,青色带釉陶瓦
block.minecraft.cyan_shulker_box,Cyan Shulker Box,青色潜影盒
block.minecraft.cyan_stained_glass,Cyan Stained Glass,青色染色玻璃
block.minecraft.cyan_stained_glass_pane,Cyan Stained Glass Pane,青色染色玻璃板
block.minecraft.cyan_terracotta,Cyan Terracotta,青色陶瓦
block.minecraft.cyan_wool,Cyan Wool,青色羊毛
block.minecraft.damaged_anvil,Damaged Anvil,损坏的铁砧
block.minecraft.dandelion,Dandelion,蒲公英
block.minecraft.dark_oak_button,Dark Oak Button,深色橡木按钮
block.minecraft.dark_oak_door,Dark Oak Door,深色橡木门
block.minecraft.dark_oak_fence,Dark Oak Fence,深色橡木栅栏
block.minecraft.dark_oak_fence_gate,Dark Oak Fence Gate,深色橡木栅栏门
block.minecraft.dark_oak_leaves,Dark Oak Leaves,深色橡树树叶
block.minecraft.dark_oak_log,Dark Oak Log,深色橡木原木
block.minecraft.dark_oak_planks,Dark Oak Planks,深色橡木木板
block.minecraft.dark_oak_pressure_plate,Dark Oak Pressure Plate,深色橡木压力板
block.minecraft.dark_oak_sapling,Dark Oak Sapling,深色橡树树苗
block.minecraft.dark_oak_sign,Dark Oak Sign,深色橡木告示牌
block.minecraft.dark_oak_slab,Dark Oak Slab,深色橡木台阶
block.minecraft.dark_oak_stairs,Dark Oak Stairs,深色橡木楼梯
block.minecraft.dark_oak_trapdoor,Dark Oak Trapdoor,深色橡木活板门
block.minecraft.dark_oak_wall_sign,Dark Oak Wall Sign,墙上的深色橡木告示牌
block.minecraft.dark_oak_wood,Dark Oak Wood,深色橡木
block.minecraft.dark_prismarine,Dark Prismarine,暗海晶石
block.minecraft.dark_prismarine_slab,Dark Prismarine Slab,暗海晶石台阶
block.minecraft.dark_prismarine_stairs,Dark Prismarine Stairs,暗海晶石楼梯
block.minecraft.daylight_detector,Daylight Detector,阳光探测器
block.minecraft.dead_brain_coral,Dead Brain Coral,失活的脑纹珊瑚
block.minecraft.dead_brain_coral_block,Dead Brain Coral Block,失活的脑纹珊瑚块
block.minecraft.dead_brain_coral_fan,Dead Brain Coral Fan,失活的脑纹珊瑚扇
block.minecraft.dead_brain_coral_wall_fan,Dead Brain Coral Wall Fan,墙上的失活脑纹珊瑚扇
block.minecraft.dead_bubble_coral,Dead Bubble Coral,失活的气泡珊瑚
block.minecraft.dead_bubble_coral_block,Dead Bubble Coral Block,失活的气泡珊瑚块
block.minecraft.dead_bubble_coral_fan,Dead Bubble Coral Fan,失活的气泡珊瑚扇
block.minecraft.dead_bubble_coral_wall_fan,Dead Bubble Coral Wall Fan,墙上的失活气泡珊瑚扇
block.minecraft.dead_bush,Dead Bush,枯萎的灌木
block.minecraft.dead_fire_coral,Dead Fire Coral,失活的火珊瑚
block.minecraft.dead_fire_coral_block,Dead Fire Coral Block,失活的火珊瑚块
block.minecraft.dead_fire_coral_fan,Dead Fire Coral Fan,失活的火珊瑚扇
block.minecraft.dead_fire_coral_wall_fan,Dead Fire Coral Wall Fan,墙上的失活火珊瑚扇
block.minecraft.dead_horn_coral,Dead Horn Coral,失活的鹿角珊瑚
block.minecraft.dead_horn_coral_block,Dead Horn Coral Block,失活的鹿角珊瑚块
block.minecraft.dead_horn_coral_fan,Dead Horn Coral Fan,失活的鹿角珊瑚扇
block.minecraft.dead_horn_coral_wall_fan,Dead Horn Coral Wall Fan,墙上的失活鹿角珊瑚扇
block.minecraft.dead_tube_coral,Dead Tube Coral,失活的管珊瑚
block.minecraft.dead_tube_coral_block,Dead Tube Coral Block,失活的管珊瑚块
block.minecraft.dead_tube_coral_fan,Dead Tube Coral Fan,失活的管珊瑚扇
block.minecraft.dead_tube_coral_wall_fan,Dead Tube Coral Wall Fan,墙上的失活管珊瑚扇
block.minecraft.deepslate,Deepslate,深板岩
block.minecraft.deepslate_brick_slab,Deepslate Brick Slab,深板岩砖台阶
block.minecraft.deepslate_brick_stairs,Deepslate Brick Stairs,深板岩砖楼梯
block.minecraft.deepslate_brick_wall,Deepslate Brick Wall,深板岩砖墙
block.minecraft.deepslate_bricks,Deepslate Bricks,深板岩砖
block.minecraft.deepslate_coal_ore,Deepslate Coal Ore,深层煤矿石
block.minecraft.deepslate_copper_ore,Deepslate Copper Ore,深层铜矿石
block.minecraft.deepslate_diamond_ore,Deepslate Diamond Ore,深层钻石矿石
block.minecraft.deepslate_emerald_ore,Deepslate Emerald Ore,深层绿宝石矿石
block.minecraft.deepslate_gold_ore,Deepslate Gold Ore,深层金矿石
block.minecraft.deepslate_iron_ore,Deepslate Iron Ore,深层铁矿石
block.minecraft.deepslate_lapis_ore,Deepslate Lapis Lazuli Ore,深层青金石矿石
block.minecraft.deepslate_redstone_ore,Deepslate Redstone Ore,深层红石矿石
block.minecraft.deepslate_tile_slab,Deepslate Tile Slab,深板岩瓦台阶
block.minecraft.deepslate_tile_stairs,Deepslate Tile Stairs,深板岩瓦楼梯
block.minecraft.deepslate_tile_wall,Deepslate Tile Wall,深板岩瓦墙
block.minecraft.deepslate_tiles,Deepslate Tiles,深板岩瓦
block.minecraft.detector_rail,Detector Rail,探测铁轨
block.minecraft.diamond_block,Block of Diamond,钻石块
block.minecraft.diamond_ore,Diamond Ore,钻石矿石
block.minecraft.diorite,Diorite,闪长岩
block.minecraft.diorite_slab,Diorite Slab,闪长岩台阶
block.minecraft.diorite_stairs,Diorite Stairs,闪长岩楼梯
block.minecraft.diorite_wall,Diorite Wall,闪长岩墙
block.minecraft.dirt,Dirt,泥土
block.minecraft.dirt_path,Dirt Path,土径
block.minecraft.dispenser,Dispenser,发射器
block.minecraft.dragon_egg,Dragon Egg,龙蛋
block.minecraft.dragon_head,Dragon Head,龙首
block.minecraft.dragon_wall_head,Dragon Wall Head,墙上的龙首
block.minecraft.dried_kelp_block,Dried Kelp Block,干海带块
block.minecraft.dripstone_block,Dripstone Block,滴水石块
block.minecraft.dropper,Dropper,投掷器
block.minecraft.emerald_block,Block of Emerald,绿宝石块
block.minecraft.emerald_ore,Emerald Ore,绿宝石矿石
block.minecraft.enchanting_table,Enchanting Table,附魔台
block.minecraft.end_gateway,End Gateway,末地折跃门
block.minecraft.end_portal,End Portal,末地传送门
block.minecraft.end_portal_frame,End Portal Frame,末地传送门框架
block.minecraft.end_rod,End Rod,末地烛
block.minecraft.end_stone,End Stone,末地石
block.minecraft.end_stone_brick_slab,End Stone Brick Slab,末地石砖台阶
block.minecraft.end_stone_brick_stairs,End Stone Brick Stairs,末地石砖楼梯
block.minecraft.end_stone_brick_wall,End Stone Brick Wall,末地石砖墙
block.minecraft.end_stone_bricks,End Stone Bricks,末地石砖
block.minecraft.ender_chest,Ender Chest,末影箱
block.minecraft.exposed_copper,Exposed Copper,斑驳的铜块
block.minecraft.exposed_cut_copper,Exposed Cut Copper,斑驳的切制铜块
block.minecraft.exposed_cut_copper_slab,Exposed Cut Copper Slab,斑驳的切制铜台阶
block.minecraft.exposed_cut_copper_stairs,Exposed Cut Copper Stairs,斑驳的切制铜楼梯
block.minecraft.farmland,Farmland,耕地
block.minecraft.fern,Fern,蕨
block.minecraft.fire,Fire,火
block.minecraft.fire_coral,Fire Coral,火珊瑚
block.minecraft.fire_coral_block,Fire Coral Block,火珊瑚块
block.minecraft.fire_coral_fan,Fire Coral Fan,火珊瑚扇
block.minecraft.fire_coral_wall_fan,Fire Coral Wall Fan,墙上的火珊瑚扇
block.minecraft.fletching_table,Fletching Table,制箭台
block.minecraft.flower_pot,Flower Pot,花盆
block.minecraft.flowering_azalea,Flowering Azalea,盛开的杜鹃花丛
block.minecraft.flowering_azalea_leaves,Flowering Azalea Leaves,盛开的杜鹃树叶
block.minecraft.frosted_ice,Frosted Ice,霜冰
block.minecraft.furnace,Furnace,熔炉
block.minecraft.gilded_blackstone,Gilded Blackstone,镶金黑石
block.minecraft.glass,Glass,玻璃
block.minecraft.glass_pane,Glass Pane,玻璃板
block.minecraft.glow_lichen,Glow Lichen,发光地衣
block.minecraft.glowstone,Glowstone,荧石
block.minecraft.gold_block,Block of Gold,金块
block.minecraft.gold_ore,Gold Ore,金矿石
block.minecraft.granite,Granite,花岗岩
block.minecraft.granite_slab,Granite Slab,花岗岩台阶
block.minecraft.granite_stairs,Granite Stairs,花岗岩楼梯
block.minecraft.granite_wall,Granite Wall,花岗岩墙
block.minecraft.grass,Grass,草
block.minecraft.grass_block,Grass Block,草方块
block.minecraft.gravel,Gravel,沙砾
block.minecraft.gray_banner,Gray Banner,灰色旗帜
block.minecraft.gray_bed,Gray Bed,灰色床
block.minecraft.gray_candle,Gray Candle,灰色蜡烛
block.minecraft.gray_candle_cake,Cake with Gray Candle,插上灰色蜡烛的蛋糕
block.minecraft.gray_carpet,Gray Carpet,灰色地毯
block.minecraft.gray_concrete,Gray Concrete,灰色混凝土
block.minecraft.gray_concrete_powder,Gray Concrete Powder,灰色混凝土粉末
block.minecraft.gray_glazed_terracotta,Gray Glazed Terracotta,灰色带釉陶瓦
block.minecraft.gray_shulker_box,Gray Shulker Box,灰色潜影盒
block.minecraft.gray_stained_glass,Gray Stained Glass,灰色染色玻璃
block.minecraft.gray_stained_glass_pane,Gray Stained Glass Pane,灰色染色玻璃板
block.minecraft.gray_terracotta,Gray Terracotta,灰色陶瓦
block.minecraft.gray_wool,Gray Wool,灰色羊毛
block.minecraft.green_banner,Green Banner,绿色旗帜
block.minecraft.green_bed,Green Bed,绿色床
block.minecraft.green_candle,Green Candle,绿色蜡烛
block.minecraft.green_candle_cake,Cake with Green Candle,插上绿色蜡烛的蛋糕
block.minecraft.green_carpet,Green Carpet,绿色地毯
block.minecraft.green_concrete,Green Concrete,绿色混凝土
block.minecraft.green_concrete_powder,Green Concrete Powder,绿色混凝土粉末
block.minecraft.green_glazed_terracotta,Green Glazed Terracotta,绿色带釉陶瓦
block.minecraft.green_shulker_box,Green Shulker Box,绿色潜影盒
block.minecraft.green_stained_glass,Green Stained Glass,绿色染色玻璃
block.minecraft.green_stained_glass_pane,Green Stained Glass Pane,绿色染色玻璃板
block.minecraft.green_terracotta,Green Terracotta,绿色陶瓦
block.minecraft.green_wool,Green Wool,绿色羊毛
block.minecraft.grindstone,Grindstone,砂轮
block.minecraft.hanging_roots,Hanging Roots,垂根
block.minecraft.hay_block,Hay Bale,干草块
block.minecraft.heavy_weighted_pressure_plate,Heavy Weighted Pressure Plate,重质测重压力板
block.minecraft.honey_block,Honey Block,蜂蜜块
block.minecraft.honeycomb_block,Honeycomb Block,蜜脾块
block.minecraft.hopper,Hopper,漏斗
block.minecraft.horn_coral,Horn Coral,鹿角珊瑚
block.minecraft.horn_coral_block,Horn Coral Block,鹿角珊瑚块
block.minecraft.horn_coral_fan,Horn Coral Fan,鹿角珊瑚扇
block.minecraft.horn_coral_wall_fan,Horn Coral Wall Fan,墙上的鹿角珊瑚扇
block.minecraft.ice,Ice,冰
block.minecraft.infested_chiseled_stone_bricks,Infested Chiseled Stone Bricks,被虫蚀的錾制石砖
block.minecraft.infested_cobblestone,Infested Cobblestone,被虫蚀的圆石
block.minecraft.infested_cracked_stone_bricks,Infested Cracked Stone Bricks,被虫蚀的裂纹石砖
block.minecraft.infested_deepslate,Infested Deepslate,被虫蚀的深板岩
block.minecraft.infested_mossy_stone_bricks,Infested Mossy Stone Bricks,被虫蚀的苔石砖
block.minecraft.infested_stone,Infested Stone,被虫蚀的石头
block.minecraft.infested_stone_bricks,Infested Stone Bricks,被虫蚀的石砖
block.minecraft.iron_bars,Iron Bars,铁栏杆
block.minecraft.iron_block,Block of Iron,铁块
block.minecraft.iron_door,Iron Door,铁门
block.minecraft.iron_ore,Iron Ore,铁矿石
block.minecraft.iron_trapdoor,Iron Trapdoor,铁活板门
block.minecraft.jack_o_lantern,Jack o'Lantern,南瓜灯
block.minecraft.jigsaw,Jigsaw Block,拼图方块
block.minecraft.jukebox,Jukebox,唱片机
block.minecraft.jungle_button,Jungle Button,丛林木按钮
block.minecraft.jungle_door,Jungle Door,丛林木门
block.minecraft.jungle_fence,Jungle Fence,丛林木栅栏
block.minecraft.jungle_fence_gate,Jungle Fence Gate,丛林木栅栏门
block.minecraft.jungle_leaves,Jungle Leaves,丛林树叶
block.minecraft.jungle_log,Jungle Log,丛林原木
block.minecraft.jungle_planks,Jungle Planks,丛林木板
block.minecraft.jungle_pressure_plate,Jungle Pressure Plate,丛林木压力板
block.minecraft.jungle_sapling,Jungle Sapling,丛林树苗
block.minecraft.jungle_sign,Jungle Sign,丛林木告示牌
block.minecraft.jungle_slab,Jungle Slab,丛林木台阶
block.minecraft.jungle_stairs,Jungle Stairs,丛林木楼梯
block.minecraft.jungle_trapdoor,Jungle Trapdoor,丛林木活板门
block.minecraft.jungle_wall_sign,Jungle Wall Sign,墙上的丛林木告示牌
block.minecraft.jungle_wood,Jungle Wood,丛林木
block.minecraft.kelp,Kelp,海带
block.minecraft.kelp_plant,Kelp Plant,海带植株
block.minecraft.ladder,Ladder,梯子
block.minecraft.lantern,Lantern,灯笼
block.minecraft.lapis_block,Block of Lapis Lazuli,青金石块
block.minecraft.lapis_ore,Lapis Lazuli Ore,青金石矿石
block.minecraft.large_amethyst_bud,Large Amethyst Bud,大型紫晶芽
block.minecraft.large_fern,Large Fern,大型蕨
block.minecraft.lava,Lava,熔岩
block.minecraft.lava_cauldron,Lava Cauldron,装有熔岩的炼药锅
block.minecraft.lectern,Lectern,讲台
block.minecraft.lever,Lever,拉杆
block.minecraft.light,Light,光
block.minecraft.light_blue_banner,Light Blue Banner,淡蓝色旗帜
block.minecraft.light_blue_bed,Light Blue Bed,淡蓝色床
block.minecraft.light_blue_candle,Light Blue Candle,淡蓝色蜡烛
block.minecraft.light_blue_candle_cake,Cake with Light Blue Candle,插上淡蓝色蜡烛的蛋糕
block.minecraft.light_blue_carpet,Light Blue Carpet,淡蓝色地毯
block.minecraft.light_blue_concrete,Light Blue Concrete,淡蓝色混凝土
block.minecraft.light_blue_concrete_powder,Light Blue Concrete Powder,淡蓝色混凝土粉末
block.minecraft.light_blue_glazed_terracotta,Light Blue Glazed Terracotta,淡蓝色带釉陶瓦
block.minecraft.light_blue_shulker_box,Light Blue Shulker Box,淡蓝色潜影盒
block.minecraft.light_blue_stained_glass,Light Blue Stained Glass,淡蓝色染色玻璃
block.minecraft.light_blue_stained_glass_pane,Light Blue Stained Glass Pane,淡蓝色染色玻璃板
block.minecraft.light_blue_terracotta,Light Blue Terracotta,淡蓝色陶瓦
block.minecraft.light_blue_wool,Light Blue Wool,淡蓝色羊毛
block.minecraft.light_gray_banner,Light Gray Banner,淡灰色旗帜
block.minecraft.light_gray_bed,Light Gray Bed,淡灰色床
block.minecraft.light_gray_candle,Light Gray Candle,淡灰色蜡烛
block.minecraft.light_gray_candle_cake,Cake with Light Gray Candle,插上淡灰色蜡烛的蛋糕
block.minecraft.light_gray_carpet,Light Gray Carpet,淡灰色地毯
block.minecraft.light_gray_concrete,Light Gray Concrete,淡灰色混凝土
block.minecraft.light_gray_concrete_powder,Light Gray Concrete Powder,淡灰色混凝土粉末
block.minecraft.light_gray_glazed_terracotta,Light Gray Glazed Terracotta,淡灰色带釉陶瓦
block.minecraft.light_gray_shulker_box,Light Gray Shulker Box,淡灰色潜影盒
block.minecraft.light_gray_stained_glass,Light Gray Stained Glass,淡灰色染色玻璃
block.minecraft.light_gray_stained_glass_pane,Light Gray Stained Glass Pane,淡灰色染色玻璃板
block.minecraft.light_gray_terracotta,Light Gray Terracotta,淡灰色陶瓦
block.minecraft.light_gray_wool,Light Gray Wool,淡灰色羊毛
block.minecraft.light_weighted_pressure_plate,Light Weighted Pressure Plate,轻质测重压力板
block.minecraft.lightning_rod,Lightning Rod,避雷针
block.minecraft.lilac,Lilac,丁香
block.minecraft.lily_of_the_valley,Lily of the Valley,铃兰
block.minecraft.lily_pad,Lily Pad,睡莲
block.minecraft.lime_banner,Lime Banner,黄绿色旗帜
block.minecraft.lime_bed,Lime Bed,黄绿色床
block.minecraft.lime_candle,Lime Candle,黄绿色蜡烛
block.minecraft.lime_candle_cake,Cake with Lime Candle,插上黄绿色蜡烛的蛋糕
block.minecraft.lime_carpet,Lime Carpet,黄绿色地毯
block.minecraft.lime_concrete,Lime Concrete,黄绿色混凝土
block.minecraft.lime_concrete_powder,Lime Concrete Powder,黄绿色混凝土粉末
block.minecraft.lime_glazed_terracotta,Lime Glazed Terracotta,黄绿色带釉陶瓦
block.minecraft.lime_shulker_box,Lime Shulker Box,黄绿色潜影盒
block.minecraft.lime_stained_glass,Lime Stained Glass,黄绿色染色玻璃
block.minecraft.lime_stained_glass_pane,Lime Stained Glass Pane,黄绿色染色玻璃板
block.minecraft.lime_terracotta,Lime Terracotta,黄绿色陶瓦
block.minecraft.lime_wool,Lime Wool,黄绿色羊毛
block.minecraft.lodestone,Lodestone,磁石
block.minecraft.loom,Loom,织布机
block.minecraft.magenta_banner,Magenta Banner,品红色旗帜
block.minecraft.magenta_bed,Magenta Bed,品红色床
block.minecraft.magenta_candle,Magenta Candle,品红色蜡烛
block.minecraft.magenta_candle_cake,Cake with Magenta Candle,插上品红色蜡烛的蛋糕
block.minecraft.magenta_carpet,Magenta Carpet,品红色地毯
block.minecraft.magenta_concrete,Magenta Concrete,品红色混凝土
block.minecraft.magenta_concrete_powder,Magenta Concrete Powder,品红色混凝土粉末
block.minecraft.magenta_glazed_terracotta,Magenta Glazed Terracotta,品红色带釉陶瓦
block.minecraft.magenta_shulker_box,Magenta Shulker Box,品红色潜影盒
block.minecraft.magenta_stained_glass,Magenta Stained Glass,品红色染色玻璃
block.minecraft.magenta_stained_glass_pane,Magenta Stained Glass Pane,品红色染色玻璃板
block.minecraft.magenta_terracotta,Magenta Terracotta,品红色陶瓦
block.minecraft.magenta_wool,Magenta Wool,品红色羊毛
block.minecraft.magma_block,Magma Block,岩浆块
block.minecraft.medium_amethyst_bud,Medium Amethyst Bud,中型紫晶芽
block.minecraft.melon,Melon,西瓜
block.minecraft.melon_stem,Melon Stem,西瓜茎
block.minecraft.moss_block,Moss Block,苔藓块
block.minecraft.moss_carpet,Moss Carpet,苔藓地毯
block.minecraft.mossy_cobblestone,Mossy Cobblestone,苔石
block.minecraft.mossy_cobblestone_slab,Mossy Cobblestone Slab,苔石台阶
block.minecraft.mossy_cobblestone_stairs,Mossy Cobblestone Stairs,苔石楼梯
block.minecraft.mossy_cobblestone_wall,Mossy Cobblestone Wall,苔石墙
block.minecraft.mossy_stone_brick_slab,Mossy Stone Brick Slab,苔石砖台阶
block.minecraft.mossy_stone_brick_stairs,Mossy Stone Brick Stairs,苔石砖楼梯
block.minecraft.mossy_stone_brick_wall,Mossy Stone Brick Wall,苔石砖墙
block.minecraft.mossy_stone_bricks,Mossy Stone Bricks,苔石砖
block.minecraft.moving_piston,Moving Piston,移动的活塞
block.minecraft.mushroom_stem,Mushroom Stem,蘑菇柄
block.minecraft.mycelium,Mycelium,菌丝
block.minecraft.nether_brick_fence,Nether Brick Fence,下界砖栅栏
block.minecraft.nether_brick_slab,Nether Brick Slab,下界砖台阶
block.minecraft.nether_brick_stairs,Nether Brick Stairs,下界砖楼梯
block.minecraft.nether_brick_wall,Nether Brick Wall,下界砖墙
block.minecraft.nether_bricks,Nether Bricks,下界砖块
block.minecraft.nether_gold_ore,Nether Gold Ore,下界金矿石
block.minecraft.nether_portal,Nether Portal,下界传送门
block.minecraft.nether_quartz_ore,Nether Quartz Ore,下界石英矿石
block.minecraft.nether_sprouts,Nether Sprouts,下界苗
block.minecraft.nether_wart,Nether Wart,下界疣
block.minecraft.nether_wart_block,Nether Wart Block,下界疣块
block.minecraft.netherite_block,Block of Netherite,下界合金块
block.minecraft.netherrack,Netherrack,下界岩
block.minecraft.note_block,Note Block,音符盒
block.minecraft.oak_button,Oak Button,橡木按钮
block.minecraft.oak_door,Oak Door,橡木门
block.minecraft.oak_fence,Oak Fence,橡木栅栏
block.minecraft.oak_fence_gate,Oak Fence Gate,橡木栅栏门
block.minecraft.oak_leaves,Oak Leaves,橡树树叶
block.minecraft.oak_log,Oak Log,橡木原木
block.minecraft.oak_planks,Oak Planks,橡木木板
